,,,,,,
//Sieve out the display of the data.
------------------------------------------------------------------------------------------------
The style of the Data's display of Bus is Hexadecimal.
A Bar position: 27.6975ms 	T Bar position: 0ns 	B Bar position: 27.8795ms
//Channel name,| Bus1,*A0,*A1,*A2,COUNT,

     60ms,Unknown,0,1,1,1,
     60.0005ms,Unknown,0,1,1,1,
     60.001ms,Unknown,0,1,1,1,
     60.0015ms,Unknown,0,1,1,1,
     60.002ms,Unknown,0,1,1,1,
     60.0025ms,Unknown,0,1,1,1,
     60.003ms,Unknown,0,1,1,1,
     60.0035ms,Unknown,0,1,1,1,
     60.004ms,Unknown,0,1,1,1,
     60.0045ms,Unknown,0,1,1,1,
     60.005ms,Unknown,0,1,1,1,
     60.0055ms,Unknown,0,1,1,1,
     60.006ms,Unknown,0,1,1,1,
     60.0065ms,Unknown,0,1,1,1,
     60.007ms,Unknown,0,1,1,1,
     60.0075ms,Unknown,0,1,1,1,
     60.008ms,Unknown,0,1,1,1,
     60.0085ms,Unknown,0,1,1,1,
     60.009ms,Unknown,0,1,1,1,
     60.0095ms,Unknown,0,1,1,1,
     60.01ms,Unknown,0,1,1,1,
     60.0105ms,Unknown,0,1,1,1,
     60.011ms,Unknown,0,1,1,1,
     60.0115ms,Unknown,0,1,1,1,
     60.012ms,Unknown,0,1,1,1,
     60.0125ms,Unknown,0,1,1,1,
     60.013ms,Unknown,0,1,1,1,
     60.0135ms,Unknown,0,1,1,1,
     60.014ms,Unknown,0,1,1,1,
     60.0145ms,Unknown,0,1,1,1,
     60.015ms,Unknown,0,1,1,1,
     60.0155ms,Unknown,0,1,1,1,
     60.016ms,Unknown,0,1,1,1,
     60.0165ms,Unknown,0,1,1,1,
     60.017ms,Unknown,0,1,1,1,
     60.0175ms,Unknown,0,1,1,1,
     60.018ms,Unknown,0,1,1,1,
     60.0185ms,Unknown,0,1,1,1,
     60.019ms,Unknown,0,1,1,1,
     60.0195ms,Unknown,0,1,1,1,
     60.02ms,Unknown,0,1,1,1,
     60.0205ms,Unknown,0,1,1,1,
     60.021ms,Unknown,0,1,1,1,
     60.0215ms,Unknown,0,1,1,1,
     60.022ms,Unknown,0,1,1,1,
     60.0225ms,Unknown,0,1,1,1,
     60.023ms,Unknown,0,1,1,1,
     60.0235ms,Unknown,0,1,1,1,
     60.024ms,Unknown,0,1,1,1,
     60.0245ms,Unknown,0,1,1,1,
     60.025ms,Unknown,0,1,1,1,
     60.0255ms,Unknown,0,1,1,1,
     60.026ms,Unknown,0,1,1,1,
     60.0265ms,Unknown,0,1,1,1,
     60.027ms,Unknown,0,1,1,1,
     60.0275ms,Unknown,0,1,1,1,
     60.028ms,Unknown,0,1,1,1,
     60.0285ms,Unknown,0,1,1,1,
     60.029ms,Unknown,0,1,1,1,
     60.0295ms,Unknown,0,1,1,1,
     60.03ms,Unknown,0,1,1,1,
     60.0305ms,Unknown,0,1,1,1,
     60.031ms,Unknown,0,1,1,1,
     60.0315ms,Unknown,0,1,1,1,
     60.032ms,Unknown,0,1,1,1,
     60.0325ms,Unknown,0,1,1,1,
     60.033ms,Unknown,0,1,1,1,
     60.0335ms,Unknown,0,1,1,1,
     60.034ms,Unknown,0,1,1,1,
     60.0345ms,Unknown,0,1,1,1,
     60.035ms,Unknown,0,1,1,1,
     60.0355ms,Unknown,0,1,1,1,
     60.036ms,Unknown,0,1,1,1,
     60.0365ms,Unknown,0,1,1,1,
     60.037ms,Unknown,0,1,1,1,
     60.0375ms,Unknown,0,1,1,1,
     60.038ms,Unknown,0,1,1,1,
     60.0385ms,Unknown,0,1,1,1,
     60.039ms,Unknown,0,1,1,1,
     60.0395ms,Unknown,0,1,1,1,
     60.04ms,Unknown,0,1,1,1,
     60.0405ms,Unknown,0,1,1,1,
     60.041ms,Unknown,0,1,1,1,
     60.0415ms,Unknown,0,1,1,1,
     60.042ms,Unknown,0,1,1,1,
     60.0425ms,Unknown,0,1,1,1,
     60.043ms,Unknown,0,1,1,1,
     60.0435ms,Unknown,0,1,1,1,
     60.044ms,Unknown,0,1,1,1,
     60.0445ms,Unknown,0,1,1,1,
     60.045ms,Unknown,0,1,1,1,
     60.0455ms,Unknown,0,1,1,1,
     60.046ms,Unknown,0,1,1,1,
     60.0465ms,Unknown,0,1,1,1,
     60.047ms,Unknown,0,1,1,1,
     60.0475ms,Unknown,0,1,1,1,
     60.048ms,Unknown,0,1,1,1,
     60.0485ms,Unknown,0,1,1,1,
     60.049ms,Unknown,0,1,1,1,
     60.0495ms,Unknown,0,1,1,1,
     60.05ms,Unknown,0,1,1,1,
     60.0505ms,Unknown,0,1,1,1,
     60.051ms,Unknown,0,1,1,1,
     60.0515ms,Unknown,0,1,1,1,
     60.052ms,Unknown,0,1,1,1,
     60.0525ms,Unknown,0,1,1,1,
     60.053ms,Unknown,0,1,1,1,
     60.0535ms,Unknown,0,1,1,1,
     60.054ms,Unknown,0,1,1,1,
     60.0545ms,Unknown,0,1,1,1,
     60.055ms,Unknown,0,1,1,1,
     60.0555ms,Unknown,0,1,1,1,
     60.056ms,Unknown,0,1,1,1,
     60.0565ms,Unknown,0,1,1,1,
     60.057ms,Unknown,0,1,1,1,
     60.0575ms,Unknown,0,1,1,1,
     60.058ms,Unknown,0,1,1,1,
     60.0585ms,Unknown,0,1,1,1,
     60.059ms,Unknown,0,1,1,1,
     60.0595ms,Unknown,0,1,1,1,
     60.06ms,Unknown,0,1,1,1,
     60.0605ms,Unknown,0,1,1,1,
     60.061ms,Unknown,0,1,1,1,
     60.0615ms,Unknown,0,1,1,1,
     60.062ms,Unknown,0,1,1,1,
     60.0625ms,Unknown,0,1,1,1,
     60.063ms,Unknown,0,1,1,1,
     60.0635ms,Unknown,0,1,1,1,
     60.064ms,Unknown,0,1,1,1,
     60.0645ms,Unknown,0,1,1,1,
     60.065ms,Unknown,0,1,1,1,
     60.0655ms,Unknown,0,1,1,1,
     60.066ms,Unknown,0,1,1,1,
     60.0665ms,Unknown,0,1,1,1,
     60.067ms,Unknown,0,1,1,1,
     60.0675ms,Unknown,0,1,1,1,
     60.068ms,Unknown,0,1,1,1,
     60.0685ms,Unknown,0,1,1,1,
     60.069ms,Unknown,0,1,1,1,
     60.0695ms,Unknown,0,1,1,1,
     60.07ms,Unknown,0,1,1,1,
     60.0705ms,Unknown,0,1,1,1,
     60.071ms,Unknown,0,1,1,1,
     60.0715ms,Unknown,0,1,1,1,
     60.072ms,Unknown,0,1,1,1,
     60.0725ms,Unknown,0,1,1,1,
     60.073ms,Unknown,0,1,1,1,
     60.0735ms,Unknown,0,1,1,1,
     60.074ms,Unknown,0,1,1,1,
     60.0745ms,Unknown,0,1,1,1,
     60.075ms,Unknown,0,1,1,1,
     60.0755ms,Unknown,0,1,1,1,
     60.076ms,Unknown,0,1,1,1,
     60.0765ms,Unknown,0,1,1,1,
     60.077ms,Unknown,0,1,1,1,
     60.0775ms,Unknown,0,1,1,1,
     60.078ms,Unknown,0,1,1,1,
     60.0785ms,Unknown,0,1,1,1,
     60.079ms,Unknown,0,1,1,1,
     60.0795ms,Unknown,0,1,1,1,
     60.08ms,Unknown,0,1,1,1,
     60.0805ms,Unknown,0,1,1,1,
     60.081ms,Unknown,0,1,1,1,
     60.0815ms,Unknown,0,1,1,1,
     60.082ms,Unknown,0,1,1,1,
     60.0825ms,Unknown,0,1,1,1,
     60.083ms,Unknown,0,1,1,1,
     60.0835ms,Unknown,0,1,1,1,
     60.084ms,Unknown,0,1,1,1,
     60.0845ms,Unknown,0,1,1,1,
     60.085ms,Unknown,0,1,1,1,
     60.0855ms,Unknown,0,1,1,1,
     60.086ms,Unknown,0,1,1,1,
     60.0865ms,Unknown,0,1,1,1,
     60.087ms,Unknown,0,1,1,1,
     60.0875ms,Unknown,0,1,1,1,
     60.088ms,Unknown,0,1,1,1,
     60.0885ms,Unknown,0,1,1,1,
     60.089ms,Unknown,0,1,1,1,
     60.0895ms,Unknown,0,1,1,1,
     60.09ms,Unknown,0,1,1,1,
     60.0905ms,Unknown,0,1,1,1,
     60.091ms,Unknown,0,1,1,1,
     60.0915ms,Unknown,0,1,1,1,
     60.092ms,Unknown,0,1,1,1,
     60.0925ms,Unknown,0,1,1,1,
     60.093ms,Unknown,0,1,1,1,
     60.0935ms,Unknown,0,1,1,1,
     60.094ms,Unknown,0,1,1,1,
     60.0945ms,Unknown,0,1,1,1,
     60.095ms,Unknown,0,1,1,1,
     60.0955ms,Unknown,0,1,1,1,
     60.096ms,Unknown,0,1,1,1,
     60.0965ms,Unknown,0,1,1,1,
     60.097ms,Unknown,0,1,1,1,
     60.0975ms,Unknown,0,1,1,1,
     60.098ms,Unknown,0,1,1,1,
     60.0985ms,Unknown,0,1,1,1,
     60.099ms,Unknown,0,1,1,1,
     60.0995ms,Unknown,0,1,1,1,
     60.1ms,Unknown,0,1,1,1,
     60.1005ms,Unknown,0,1,1,1,
     60.101ms,Unknown,0,1,1,1,
     60.1015ms,Unknown,0,1,1,1,
     60.102ms,Unknown,0,1,1,1,
     60.1025ms,Unknown,0,1,1,1,
     60.103ms,Unknown,0,1,1,1,
     60.1035ms,Unknown,0,1,1,1,
     60.104ms,Unknown,0,1,1,1,
     60.1045ms,Unknown,0,1,1,1,
     60.105ms,Unknown,0,1,1,1,
     60.1055ms,Unknown,0,1,1,1,
     60.106ms,Unknown,0,1,1,1,
     60.1065ms,Unknown,0,1,1,1,
     60.107ms,Unknown,0,1,1,1,
     60.1075ms,Unknown,0,1,1,1,
     60.108ms,Unknown,0,1,1,1,
     60.1085ms,Unknown,0,1,1,1,
