,,,,,
//Sieve out the display of the data.
------------------------------------------------------------------------------------------------
The style of the Data's display of Bus is Hexadecimal.
A Bar position: -16.1255ms 	T Bar position: 0ns 	B Bar position: -11.7505ms
//Channel name,| Bus1,*A0,*A1,*A2,

     89.9995ms,Unknown,0,0,1,
     90ms,Unknown,0,0,1,
     90.0005ms,Unknown,0,0,1,
     90.001ms,Unknown,0,0,1,
     90.0015ms,Unknown,0,0,1,
     90.002ms,Unknown,0,0,1,
     90.0025ms,Unknown,0,0,1,
     90.003ms,Unknown,0,0,1,
     90.0035ms,Unknown,0,0,1,
     90.004ms,Unknown,0,0,1,
     90.0045ms,Unknown,0,0,1,
     90.005ms,Unknown,0,0,1,
     90.0055ms,Unknown,0,0,1,
     90.006ms,Unknown,0,0,1,
     90.0065ms,Unknown,0,0,1,
     90.007ms,Unknown,0,0,1,
     90.0075ms,Unknown,0,0,1,
     90.008ms,Unknown,0,0,1,
     90.0085ms,Unknown,0,0,1,
     90.009ms,Unknown,0,0,1,
     90.0095ms,Unknown,0,0,1,
     90.01ms,Unknown,0,0,1,
     90.0105ms,Unknown,0,0,1,
     90.011ms,Unknown,0,0,1,
     90.0115ms,Unknown,0,0,1,
     90.012ms,Unknown,0,0,1,
     90.0125ms,Unknown,0,0,1,
     90.013ms,Unknown,0,0,1,
     90.0135ms,Unknown,0,0,1,
     90.014ms,Unknown,0,0,1,
     90.0145ms,Unknown,0,0,1,
     90.015ms,Unknown,0,0,1,
     90.0155ms,Unknown,0,0,1,
     90.016ms,Unknown,0,0,1,
     90.0165ms,Unknown,0,0,1,
     90.017ms,Unknown,0,0,1,
     90.0175ms,Unknown,0,0,1,
     90.018ms,Unknown,0,0,1,
     90.0185ms,Unknown,0,0,1,
     90.019ms,Unknown,0,0,1,
     90.0195ms,Unknown,0,0,1,
     90.02ms,Unknown,0,0,1,
     90.0205ms,Unknown,0,0,1,
     90.021ms,Unknown,0,0,1,
     90.0215ms,Unknown,0,0,1,
     90.022ms,Unknown,0,0,1,
     90.0225ms,Unknown,0,0,1,
     90.023ms,Unknown,0,0,1,
     90.0235ms,Unknown,0,0,1,
     90.024ms,Unknown,0,0,1,
     90.0245ms,Unknown,0,0,1,
     90.025ms,Unknown,0,0,1,
     90.0255ms,Unknown,0,0,1,
     90.026ms,Unknown,0,0,1,
     90.0265ms,Unknown,0,0,1,
     90.027ms,Unknown,0,0,1,
     90.0275ms,Unknown,0,0,1,
     90.028ms,Unknown,0,0,1,
     90.0285ms,Unknown,0,0,1,
     90.029ms,Unknown,0,0,1,
     90.0295ms,Unknown,0,0,1,
     90.03ms,Unknown,0,0,1,
     90.0305ms,Unknown,0,0,1,
     90.031ms,Unknown,0,0,1,
     90.0315ms,Unknown,0,0,1,
     90.032ms,Unknown,0,0,1,
     90.0325ms,Unknown,0,0,1,
     90.033ms,Unknown,0,0,1,
     90.0335ms,Unknown,0,0,1,
     90.034ms,Unknown,0,0,1,
     90.0345ms,Unknown,0,0,1,
     90.035ms,Unknown,0,0,1,
     90.0355ms,Unknown,0,0,1,
     90.036ms,Unknown,0,0,1,
     90.0365ms,Unknown,0,0,1,
     90.037ms,Unknown,0,0,1,
     90.0375ms,Unknown,0,0,1,
     90.038ms,Unknown,0,0,1,
     90.0385ms,Unknown,0,0,1,
     90.039ms,Unknown,0,0,1,
     90.0395ms,Unknown,0,0,1,
     90.04ms,Unknown,0,0,1,
     90.0405ms,Unknown,0,0,1,
     90.041ms,Unknown,0,0,1,
     90.0415ms,Unknown,0,0,1,
     90.042ms,Unknown,0,0,1,
     90.0425ms,Unknown,0,0,1,
     90.043ms,Unknown,0,0,1,
     90.0435ms,Unknown,0,0,1,
     90.044ms,Unknown,0,0,1,
     90.0445ms,Unknown,0,0,1,
     90.045ms,Unknown,0,0,1,
     90.0455ms,Unknown,0,0,1,
     90.046ms,Unknown,0,0,1,
     90.0465ms,Unknown,0,0,1,
     90.047ms,Unknown,0,0,1,
     90.0475ms,Unknown,0,0,1,
     90.048ms,Unknown,0,0,1,
     90.0485ms,Unknown,0,0,1,
     90.049ms,Unknown,0,0,1,
     90.0495ms,Unknown,0,0,1,
     90.05ms,Unknown,0,0,1,
